,name
0,002812.SZ
1,002607.SZ
2,600030.SH
3,600809.SH
4,002027.SZ
5,600299.SH
6,002044.SZ
7,300122.SZ
8,601360.SH
9,002594.SZ
10,601698.SH
11,600118.SH
12,600018.SH
13,300014.SZ
14,600745.SH
15,601881.SH
16,603392.SH
17,601211.SH
18,000157.SZ
19,600999.SH
20,600309.SH
21,300529.SZ
22,601012.SH
23,603338.SH
24,600887.SH
25,300274.SZ
26,300558.SZ
27,002371.SZ
28,601939.SH
29,002271.SZ
30,601100.SH
31,601155.SH
32,600233.SH
33,603799.SH
34,300413.SZ
35,002508.SZ
36,002475.SZ
37,601872.SH
38,600570.SH
39,600196.SH
40,000858.SZ
41,002236.SZ
42,000002.SZ
43,000708.SZ
44,000860.SZ
45,600989.SH
46,600276.SH
47,600690.SH
48,603259.SH
49,002202.SZ
50,603882.SH
51,000100.SZ
52,000651.SZ
53,600340.SH
54,601901.SH
55,000063.SZ
56,003816.SZ
57,601669.SH
58,601138.SH
59,601618.SH
60,002414.SZ
61,600352.SH
62,688111.SH
63,603160.SH
64,600600.SH
65,600132.SH
66,600763.SH
67,601229.SH
68,688363.SH
69,002129.SZ
70,601225.SH
71,600143.SH
72,000786.SZ
73,600919.SH
74,601788.SH
75,601688.SH
76,300628.SZ
77,002938.SZ
78,600016.SH
79,601696.SH
80,002001.SZ
81,002945.SZ
82,600104.SH
83,600655.SH
84,000568.SZ
85,600079.SH
86,002410.SZ
87,002241.SZ
88,600519.SH
89,000728.SZ
90,603986.SH
91,002230.SZ
92,601878.SH
93,000876.SZ
94,601169.SH
95,601077.SH
96,601933.SH
97,600893.SH
98,601006.SH
99,600585.SH
100,601995.SH
101,600000.SH
102,600848.SH
103,601899.SH
104,002841.SZ
105,600489.SH
106,300136.SZ
107,002050.SZ
108,002601.SZ
109,601088.SH
110,002384.SZ
111,603019.SH
112,300124.SZ
113,300059.SZ
114,002142.SZ
115,600028.SH
116,600036.SH
117,600872.SH
118,002007.SZ
119,600010.SH
120,600741.SH
121,601985.SH
122,600837.SH
123,603288.SH
124,000333.SZ
125,603806.SH
126,601319.SH
127,300595.SZ
128,002739.SZ
129,600161.SH
130,600061.SH
131,601989.SH
132,600958.SH
133,600383.SH
134,000425.SZ
135,600606.SH
136,601186.SH
137,601231.SH
138,300677.SZ
139,000895.SZ
140,603658.SH
141,002916.SZ
142,002463.SZ
143,603369.SH
144,600346.SH
145,601919.SH
146,601600.SH
147,688009.SH
148,000069.SZ
149,603087.SH
150,688396.SH
151,600362.SH
152,601628.SH
153,603195.SH
154,002555.SZ
155,002304.SZ
156,601108.SH
157,300433.SZ
158,000661.SZ
159,600521.SH
160,300450.SZ
161,601766.SH
162,603993.SH
163,688012.SH
164,600085.SH
165,600332.SH
166,600886.SH
167,601857.SH
168,688036.SH
169,600547.SH
170,600436.SH
171,000776.SZ
172,000963.SZ
173,601838.SH
174,000768.SZ
175,000800.SZ
176,601633.SH
177,601162.SH
178,300015.SZ
179,600482.SH
180,601799.SH
181,600019.SH
182,600176.SH
183,600115.SH
184,600015.SH
185,002157.SZ
186,601238.SH
187,002049.SZ
188,600703.SH
189,002714.SZ
190,600760.SH
191,600031.SH
192,600660.SH
193,603939.SH
194,002939.SZ
195,600109.SH
196,600009.SH
197,000338.SZ
198,601990.SH
199,001979.SZ
200,601328.SH
201,002024.SZ
202,300142.SZ
203,601236.SH
204,600050.SH
205,601336.SH
206,600150.SH
207,600918.SH
208,300601.SZ
209,300033.SZ
210,601668.SH
211,601800.SH
212,000001.SZ
213,601390.SH
214,000938.SZ
215,000596.SZ
216,601607.SH
217,002415.SZ
218,688126.SH
219,002311.SZ
220,600438.SH
221,600426.SH
222,601111.SH
223,603517.SH
224,000783.SZ
225,600025.SH
226,002032.SZ
227,002600.SZ
228,603833.SH
229,002120.SZ
230,600029.SH
231,000538.SZ
232,600705.SH
233,600845.SH
234,002624.SZ
235,002493.SZ
236,600584.SH
237,601555.SH
238,002008.SZ
239,600926.SH
240,002179.SZ
241,600588.SH
242,601998.SH
243,002736.SZ
244,601216.SH
245,601727.SH
246,002456.SZ
247,000977.SZ
248,600795.SH
249,600522.SH
250,603233.SH
251,603501.SH
252,601916.SH
253,688169.SH
254,601816.SH
255,000625.SZ
256,600183.SH
257,000725.SZ
258,601398.SH
259,601808.SH
260,600406.SH
261,000066.SZ
262,603899.SH
263,000166.SZ
264,002460.SZ
265,002352.SZ
266,002252.SZ
267,002558.SZ
268,601066.SH
269,601166.SH
270,000703.SZ
271,601658.SH
272,601009.SH
273,601818.SH
274,601021.SH
275,000656.SZ
276,601288.SH
277,300408.SZ
278,688008.SH
279,601877.SH
280,601601.SH
281,300347.SZ
282,300676.SZ
283,300144.SZ
284,002773.SZ
285,002673.SZ
286,600048.SH
287,002153.SZ
288,002602.SZ
289,600900.SH
290,603659.SH
291,300498.SZ
292,002821.SZ
293,300003.SZ
294,600111.SH
295,601377.SH
296,600011.SH
297,601988.SH
298,601888.SH
299,601318.SH
